"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см",Примечание,,,,,,
Herlang,Voigtländer,Фотоаппарат,,,Германия,Брауншвейг,83,,,,991,170х115х40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,9х12,90,Пластина,,"F.Deckel-Munchen
Compur
Steinheil Munchen
Doppelanastigmat Unofokal","2296392
230022","1:4,5","13,5",,,,,,,
Certasport,Certo,Фотоаппарат,1930,,Германия,,84,,,3870,737,135x95x45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"6,5х9",150,Пластина,Compur,Meyer-Gorlitz Anastigmat Trioplan,"561917
474550","1:4,5",10.5,,,,,,,
Москва 4,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1955,1958,СССР,"Красногорск, МО",85,,,5613261,890,155х95х45,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,70,Пленка,Момент-23С,Индустар-23,"5613133
5615624","1:4,5",11,"Изнутри на крышке выбита модель фотоаппарата, размер кадра, название фабрики производителя.
Так же внутри данного фотоаппарата сохранилась пленка.",,,,,,
Weltix,Welta,Фотоаппарат,1939,,Германия,,86,,,,465,120x75x40,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Малоформатная,"2,4x3,6",15,Плёнка типа 135 (35-мм фотоплёнка),,"F.Deckel-Munchen Compur
Steinheil Munchen Cassar","А461444   
477305","1:2,9",5,На задней крышке выбита таблица соответствий,,,,,,
Contessa Nettel,Ziess Ikon,Фотоаппарат,,,Германия,Штутгарт,87,,,374684,516,170x85x35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"4,5x9",60,Пленка,,A.-G. Stuttgart Contessa-Nettel,,,,На верхней части фотоаппарата прибита реклама Herland (название романа),,,,,,
Super Ikonta 533/16,Ziess Ikon,Фотоаппарат,1937,1952,Германия,Дрезден,88,,,19138,1078,150x120x45,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х6,40,Пленка,Compur Rapid ,Carl Zeiss Jena Tessar,"4312864
2617897","1:2,8",8,Изнутри на крышке выбита модель пленки Zeiss Ikon Film B2-6x9 *2 1/4 x 3 1/4 in*,,,,,,
,Ziess Ikon,Фотоаппарат,,,Германия,Дрезден,89,,,,642,130x90x45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,140,Пластина,Compur,Carl Zeiss Jena Tessar,"A159601
2421785","1:4,5","10,5",Изнутри на крышечке наклейка с фамилией более известного как устроитель электромагнитного телеграфа Steinheil Munchen,,,,,,
Alpin,Voigtländer,Фотоаппарат,1907,1928,Германия,Брауншвейг,90,,,,920,145x110x55,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,"8,5x12",160,Пластина,Compur,"Voigtlander Braunschweig D.R.P. D.R.G.M.
Voigtlander Kollinear","361461
258646
161469","1:6,3","13,2",Данный фотоаппарат имеет тройное расширение меха,,,,,,
Nettar 515,Ziess Ikon,Фотоаппарат,1934,1941,Германия,Дрезден,91,,,J2102,430,115x90x40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"4,5x6",40,Пленка,Derval,"Zeiss Ikon 
Nettar-anastigmat",,"1:6,3","7,5","Изнутри на крышке выбита модель пленки Zeiss Ikon Film B2-6x9 *2 1/4 x 3 1/4 in*
Так же имеется наклейка реклама пленки Zeiss Ikon Film ",,,,,,
Baltica Mechanik-Dresden,Baltica,Фотоаппарат,1951,,Германия,Дрезден,92,,,,427,120x80x35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Малоформатная,"2,4x3,6",20,Плёнка типа 135 (35-мм фотоплёнка),Ovus,"Balda-Dresden
Meritar E.Ludwig","20580
690468","1:2,9",5.0,На задней крышке выбита таблица соответствий,,,,,,
Nettar 515,Ziess Ikon,Фотоаппарат,1934,1941,Германия,Дрезден,93,,,K91729,431,120x85x45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"4,5x6",40,Пленка,Zeiss Ikon,Nettar-Anastigmat,,"1:4,5","7,5","Изнутри на крышке выбита модель пленки Zeiss Ikon Film B2-6x9 *2 1/4 x 3 1/4 in*
Так же имеется наклейка реклама пленки Zeiss Ikon Film ",,,,,,
Москва 4,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1955,1958,СССР,"Красногорск, МО",94,,,5617492,863,160x9550,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,70,Пленка,Момент-23C,"Москва
Индустар-23","5615476
5619253","1:4,5",11,,,,,,,
,Xenon,Объектив,,,Германия,,95,,,,155,,,,Алюминий,,,,,,"Xenon 
Schneider-Kreuznach",,"1:1,4","2,5",,,,,,,
Nettar (515/2),Ziess Ikon,Фотоаппарат,1934,1941,Германия,Дрезден,96,,,27424,708,165x90x55,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,70,Пленка,Zeiss Ikon,Novonar Anastigmat,,"1:4,5",11,,,,,,,
Москва 2 (1948 г),"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1947,1956,СССР,"Красногорск, МО",97,,,4820547,837,155х90х40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,100,Пленка,без указания,Индустар 23,4818221,"1:4,5",11,,,,,,,
Erсona II,PENTACON Ziess Ikon,Фотоаппарат,1956,,Германия,Дрезден,98,,,,759,160х95х40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,95,Пленка,Tempor,Novonar Anastigmat,,"1:4,5",11,,,,,,,
Wata,Фотовспышка,Фотовспышка,,,Германия,,99,,,,113,145х125х65,Фотовспышка электрическая,,Алюминий,,,,,,,,,,,,,,,,
Искра,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1960,1963,СССР,"Красногорск, МО",100,,,6308431,899,155х105х40,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х6,60,Пленка,,Индустар 58,6314401,"1:3,5","7,5",Заряжен пленкой,,,,,,
Москва 5,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1956,1960,СССР,"Красногорск, МО",101,,,5718964,885,160х90х45,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х6,100,Пленка,Момент 24С,Индустар 24,27745,"1:3,5","10,5",,,,,,,
Regent,Kodak,Фотоаппарат,1935,1939,Германия,,102,,,781921,747,,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка,Compur-Rapid,Tessar,1798113,"1:4,5",10.5,Внутри на крышке имеется наклейка с рекламой пленки кодак,,,,,,
Juwella,Balda,Фотоаппарат,1933,,Германия,Дрезден,103,,,121631,585,120x80x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,"Плёнка типа 120 (61,5-мм рольфильм)",Prontor,Trinar,,"1:4,5",10.5,"Первые образцы данной модели назывались Jubella, но позднее были переименованы в  Juwella.",,,,,,
,Прибор для просмотра картинок,Другое,,,,,104,,,,530,,,,,,,,,,,,,,Увеличительное стекло в деревянном корпусе,,,,,,
Mamia C3,Mamiya Camera company,Фотоаппарат,,,Япония,,105,,,236867,1818,160x95x170,"Двухобъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х6,60,Пленка,Seikosha-S,"Mamiya-Sekor,
Seikosha-S","1153666
1153558","1:3,5",10.5,,,,,,,
ЭФТЭ 2,"ГОМЗ, Фототруд",Фотоаппарат,1931,1933,СССР,,106,,,,752,150х105х60,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,9х12,105,Пленка,,Перископ Москва,,,15,,,,,,,
Vest Pocket Autographic ,Kodak,Фотоаппарат,1915,1926,Канада,,107,,,,327,120х60х23,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Малоформатная,"4,5х4,5",50,Пленка,Kodak Ball Bearing Shutter,,,,,На задней панели идет перечисление многих патентов,,,,,,
Recto,Contessa Nettel,Фотоаппарат,1921,,Германия,Дрезден,108,,,,237,80х58х28,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Малоформатная,"4,5х6",70,Пластина,,,,,,,,,,,,
Ica,ICA A-G,Фотоаппарат,,,Германия,,109,,,,507,125x100x50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, дерево",Форматная,6х9,100,Пластина,,Helios,299575,1:8,12.0,На внутренней поверхности название ICA  и пятиконечная звезда,,,,,,
Autographic №1А,Kodak,Фотоаппарат,1910,,США ,,110,,,,762,200х95х40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х12,110,Пленка,Kodak Ball Bearing Shutter,Kodak Anastigmat,180343,"1:7,7",13.0,На обратной стороне крышки перечисление многих патентов,,,,,,
Voigtländer,Voigtländer,Фотоаппарат,1930,,Германия,Брауншвейг,111,,,,979,155х110х50,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,9х12,160,Пластина,Ibsor,Anastigmat Trioplan,430522,"1:4,5","13,5",,,,,,,
Makina (1),Plaubel,Фотоаппарат,1920,1933,Германия,,112,,,,1018,130х90х60,"Однообъективная, вертикальная",Клапп-камера,Алюминий,Форматная,"6,5х9",70,Пластина + плёнка,COMPUR,Anticomar,85029,"1:2,9",10.0,,,,,,,
Avus,Voigtländer,Фотоаппарат,1927,,Германия,Брауншвейг,113,,,,629,125х90х50,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,110,Пластина,Voigtländer,Anastigmat Skopar,329441,"1:4,5","10,5",,,,,,,
Autographic №3А,Kodak Eastman,Фотоаппарат,1914,1934,США ,,114,,,27591,1207,240х120х45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,9х12,150,Пленка,,Rapid Rectilinear Bausch,,,,На обратной стороне крышки перечисление многих патентов,,,,,,
Спутник-стерео,ГОМЗ ,Фотоаппарат,1955,,СССР,,115,,,,806,150х100х95,Трехобъективный,Стерео зеркальный,Бакелит,Форматная,6х13,,Пленка,,Т-22,53890,"1:4,5","7,5",,,,,,,
Avus,Voigtländer,Фотоаппарат,1927,1936,Германия,Брауншвейг,116,,,D9600261,642,125х90х50,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"6,5х9",110,Пластина,,Anastigmat Pololyt,209691,"1:6,3","12,5",,,,,,,
Altissa (prism-shaped top) ,Eho Altissa ,Фотоаппарат,1954,,Германия,,117,,,,305,110х75х75,"Однообъективная, вертикальная",Бокс камера,Алюминий,Форматная,6х6,,"Плёнка типа 120 (61,5-мм рольфильм)",,Periskop,,1:8,,,,,,,,
POCKET KODAK Junior 1,Kodak ,Фотоаппарат,1929,1932,США,,118,,,,628,160х80х30,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,,Пленка,KODO,Doublet,,,,,,,,,,
Reporter BOX,Carl Braun camerawerke,Фотоаппарат,1955,,Германия,,119,,,,469,130х105х85,"Однообъективная, вертикальная",Бокс камера,Жесть,Форматная,6х9,,"Плёнка типа 120 (61,5-мм рольфильм)",,Optik,,,12.5,,,,,,,
Anastigmat Jgestar ,Agfa,Фотоаппарат,1933,1942,Германия,Мюнхен,120,,,,620,160x75x40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,90,"Плёнка типа 120 (61,5-мм рольфильм)",,Agfa Anastigmat Jgestar,,,7.7,,,,,,,
№O Brownie Camera A,Kodak,Фотоаппарат,1900,,США,,121,,,,172,115х90х65,"Однообъективная, вертикальная",Бокс камера,Дерево,Форматная,6х6,,Пленка,,,,,,,,,,,,
№127 Brownie Camera ,Kodak,Фотоаппарат,1934,1941,США,,122,,,,193,75х65х60,"Однообъективная, вертикальная",Бокс камера,Бакелит,Форматная,"4,5х6",,Пленка,,,,,,,,,,,,
Glorina,Balda,Фотоаппарат,1934,1936,Германия,Дрезден,123,,,714519,595,155х80х30,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,80,"Плёнка типа 120 (61,5-мм рольфильм)",PRONTO,Anastigmat- Trinar,,"1:4,5",10.5,,,,,,,
Vero,,Фотоаппарат,,,Германия,,124,,,,325,130x65x25,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,45,Пленка,VERO,"""Fotar""",54964,"1:6,3","8,5",,,,,,,
"Suevia,
Contessa-Nettel ",Ziess Ikon,Фотоаппарат,1926,1927,Германия,Дрезден,125,,,,422,110x80x40,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,70,Пластина,JCA,Nostar,691111,"1:6,8","10,5",С боку на корпусе эмблема J.Rodenstock Berlin Munchen,,,,,,
Dacora 1,Dacora,Фотоаппарат,1952,,Германия,,126,,,,457,130x90x40,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,40,"Плёнка типа 120 (61,5-мм рольфильм)",Pronto,Ennar,736231,"1:3,5",7.5,,,,,,,
Спутник,,Бачок промывочный,1955,,,,127,,,,730,165х135х85,,,Бакелит,,,,,,,,,,,,,,,,
Полевой Бинокль,,Бинокль,,,,,128,,,,243,110х100х50,,Полевой,Латунь,,,,,,,,,,,,,,,,
полевой Бинокль,,Бинокль,,,,,129,,,,94,95х40х30,,Театральный,Латунь,,,,,,,,,,,,,,,,
Полевой Бинокль,,Бинокль,,,,,130,,,,182,115х75х35,,Кавалерийский,Латунь,,,,,,,,,,,,,,,,
Полевой Бинокль,,Бинокль,,,,,131,,,,278,120х80х45,,Полевой,Латунь,,,,,,,,,,,,,,,,
Plastoscop,Krugener,Фотоаппарат,,,Германия,,132,,,,323,130x55x33,"Двухобъективная, горизонтальная",Стерео,"Алюминий, кожа (искусственная), сталь",Форматная,"4,5х4,5",35,Пластина,,,,,,,,,,,,
Baby-Box Tengor 54/18,Ziess Ikon,Фотоаппарат,1934,1938,Германия,Дрезден,133,,,,229,80х60х53,"Однообъективная, вертикальная",Бокс камера,"Алюминий, кожа (искусственная), сталь",Форматная,3х4,,Пленка,,"Goerz Frontar
 D.R.P.",,,,,,,,,,
Метеор 5-1,"КМЗ, Красногорский завод им. С. А. Зверева",Объектив,,,СССР,"Красногорск, МО",134,,,,818,170х65х80,,,"Бакелит, алюминий",,,,,,Метеор 5-1,753270,"1:1,9","6,9",,,,,,,
,,Бачок промывочный,,,СССР,,135,,,"143912
1439/4 7",221,110х100х70,,,Бакелит,,,,,,,,,,,,,,,,
,,Бачок промывочный,,,СССР,,136,,,"6413/2
6413/4 2-26",227,,,,,,,,,,,,,,,,,,,,
,ГОМЗ ,Бачок промывочный,,,СССР,,137,,,,1114,260х180х100,,,Бакелит,,,,,,,,,,"По типу корпуса - жесткие, с выдвижным тубусом, с раздвижным мехом, клапп-камера, ящичный",,,,,,
Sixtomat X3,Экспонометр,Экспонометр,,,Германия,,138,,,B4D4771,144,75х50х30,,,,,,,,,,,,,,,,,,,
Киев 30,Арсенал,Фотоаппарат,1974,1983,СССР,,139,,,77100692,183,85х40х20,"Однообъективная, горизонтальная",Жесткий,"Алюминий, кожа (искусственная), сталь",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,"Индустар М 3,5/24",,"3,5",2.4,,,,,,,
Ленинград 8,Экспонометр,Экспонометр,,,СССР,,140,,,10661,92,"80х55х2,5",,,Бакелит,,,,,,,,,,,,,,,,
Янтарь,Таймер для лабораторных работ,Другое,,,СССР,,141,,,,457,115х115х55,,,Пластик,,,,,,,,,,,,,,,,
Москва-2,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1947,1956,СССР,"Красногорск, МО",142,,,5107090,851,165х95х45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,80,Пленка,Момент-1,Индустар-23,66606,"1:4,5",11,,,,,,,
Avus,Voigtländer,Фотоаппарат,1919,1934,Германия,Брауншвейг,143,,,,658,125х95х45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,115,Пластина,IBSOR,"Anastigmat ""Skopar""","328231
80747","1:4,5","10,5",,,,,,,
Automatic Land 420,Polaroid,Фотоаппарат,1971,,США,,144,,,AX386734,982,185х145х60,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,8х10,95,Пленка,,,,,,,,,,,,
Фотокор 1,ГОМЗ ,Фотоаппарат,1928,1940,СССР,,145,,,869680,930,170х110х50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,125,Пластина,ГОМЗ,Ортагоз Анастигмат,19334,"1:4,5","13,5",,,,,,,
Noris,Baldina Bada,Фотоаппарат,1936,,Германия,Мюнхен,146,,,,610,150х90х35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка,PRONTOR II,Corygon-Anastigmat,225016,"1:4,5","10,5",,,,,,,
Heli-Clack,RIETZSCHEL,Фотоаппарат,1910,,Германия,Дрезден,147,,,,959,150х115х50,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,8х11,150,Пластина,,Tessar,"856395
619830
258646","1:4,5",12,затвор переставлен,,,,,,
Super Ikonta B 532/16,Ziess Ikon,Фотоаппарат,1937,1956,Германия,Дрезден,148,,,H 14003,914,145х100х45,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х6,40,Пленка,COMPUR RAPID,Tessar,2617660,"1:2,8",8,,,,,,,
Juwella,Balda,Фотоаппарат,1933,,Германия,Дрезден,149,,,,585,120x80x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,"Плёнка типа 120 (61,5-мм рольфильм)",Balda,Juwella-Anastigmat,,"1:4,5",10.5,"Первые образцы данной модели назывались Jubella, но позднее были переименованы в  Juwella.",,,,,,
Москва 1,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1946,1949,СССР,"Красногорск, МО",150,,,4812938,700,160х90х40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка,,Индустар-23,017484,"1:4,5",11,,,,,,,
Verascope,Jules Richard ,Фотоаппарат,1890,1930,Париж,,151,,,17110,1020,140х40х85,"Однообъективная, горизонтальная",Жесткий,"Алюминий, кожа (искусственная), сталь",Форматная,"1,7х4,5",,Пластина,,Tessar-Zeiss F-55,"53716
53743",,5.5,,,,,,,
Ica Volta,Ziess Ikon,Фотоаппарат,1927,1931,Германия,Дрезден,152,,,"G39
L19007",856,150х115х45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,100,Пластина,Ziess Ikon,"""Preminar""","738090
28803","1:4,5","13,5",,,,,,,
Ikonta,Ziess Ikon,Фотоаппарат,1929,,Германия,Дрезден,153,,,Q 16672,625,170х85х35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка,DERVAL,Novar-Anastigmat,93165,"1:6,3","10,5",,,,,,,
,Voigtländer,Фотоаппарат,,,Германия,Брауншвейг,154,,,,1035,150х150х50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,8х11,135,Пластина,IBSOR, Anastigmat Actinar,"196979
","1:4,5","13,5",,,,,,,
Bessa ,Voigtländer,Фотоаппарат,1931,1949,Германия,Брауншвейг,155,,,817190,462,150х75х30,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,Пленка,,Anastigmat Voigtar ,,"1:6,3",,,,,,,,
Taxo ,Ziess Ikon,Фотоаппарат,1927,1931,Германия,Дрезден,156,,,,777,155x110x45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,110,Пластина,DERVAL,Novar-Anastigmat,901195,"1:6,3","13,5",,,,,,,
Maximar 207/1,Ziess Ikon,Фотоаппарат,1927,1939,Германия,Дрезден,157,,,,1079,155х110х50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,155,Пластина,Compur,Dominar Anastigmat,"258646
160780
842906","1:4,5","13,5",,,,,,,
Фотокор,ГОМЗ ,Фотоаппарат,1928,1940,CCCР,,158,,,837073,1052,155х110х55,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,145,Пластина,ГОМЗ,Ортагоз,899599,,,,,,,,,
Taxo 64,Ziess Ikon,Фотоаппарат,1927,1931,Германия,Дрезден,159,,,,800,150х110х45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,90,Пластина,DERVAL,Nostar,731747,"1:6,3","13,5",,,,,,,
Flash Bantam,Kodak,Фотоаппарат,1948,1953,Германия,,160,,,,475,115х70х35,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"3х4,5",15,Пленка,,"
Kodak Anastar",EI4730,"1:4,5",4.8,,,,,,,
Ideal 250/7,Ziess Ikon,Фотоаппарат,1927,1938,Германия,Дрезден,161,,,,1289,160х120х50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,130,Пластина,,Carl Zeiss Jena,"620621
258646","1:4,5","13,5",,,,,,,
Ideal,ICA A-G,Фотоаппарат,1927,1938,Германия,,162,,,,1938,220х165х60,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,14х19,130,Пластина,Compound,"
Carl Zeiss Jena Doppel Amatar ",124864,"1:6,8",18.0,На фотоаппарате металлическая реклама с изображением герба РФ и адресами,,,,,,
Certo,Certo,Фотоаппарат,,,Германия,Дрезден,163,,,,1309,155x110x50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,160,Пластина,Compur,Tessar Carl Zeiss Jena,"228258
258646
222450","1:6,3",13.5,,,,,,,
Cartridge Kodak №3,Kodak,Фотоаппарат,1900,1907,Германия,,164,,,3219,1378,210x160x85,"Однообъективная, горизонтальная",С раздвижным мехом,"Красное дерево, сталь, кожа",Форматная,9х12,140,Пленка,,Optical Co. Rapid,,,,Изнутри на крышке наклейка с названием производителя,,,,,,
Halloh 510,ICA A-G,Фотоаппарат,1914,1926,Германия,,165,,,,970,195х110х40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,95,Пластина,JCA,Zeiss-Icar,207421,"1:6,3",13.5,,,,,,,
,Voigtländer,Фотоаппарат,,,Германия,Мюнхен,166,,,,526,125x90x35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,120,Пластина,IBSOR,Doppel Anastigmat Eurynar,"311430
408556","1:4,5","10,5",,,,,,,
Original Gauthien,,Фотоаппарат,,,Германия,,167,,,152867,907,220x145,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,210,Пластина,,Jhagee-Anastigmat,23553,"1:4,5","13,5",,,,,,,
Jerie 4,TAUBER,Фотоаппарат,1910,,Германия,,168,,,,2348,240x215x75,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,12х18,250,Пластина,,Rapid Aplanat,,1:8,,,,,,,,
Premo,Premo Camera,Фотоаппарат,1903,,США,,169,,,,1923,220х190х50,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,12х18,340,Пластина,,Bausch & Lomb-Zeiss Tessar,"385672
1259015",,,,,,,,,
Pony Premo №4,Kodak Premo,Фотоаппарат,1898,1912,США,,170,,,,1891,210x200x90,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,12х18,150,Пластина,,Auto,,,,,,,,,,
Rayment*s Patent,PERKEN,Фотоаппарат,1886,1989,Великобритания ,Лондон,171,,,,1505,220х220х60,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,12х18,200,Пластина,,,,,,,,,,,,
Mentor Reflex,GOLTZ,Фотоаппарат,1898,,Германия,Дрезден,172,,,,2698,190x180x140,Зеркальный,С раздвижным мехом,"Дерево, латунь",Форматная,9х12,70,Пластина,,Tessar,513458,"1:4,5",16.5,,,,,,,
,,Фото  в рамке,,,,,173,,,,,,,,,,,,,,,,,,Семейное фото. Начало XX века,,,,,,
Weita,Voigtländer,Фотоаппарат,,,Германия,Мюнхен,174,,,,1058,155х115х55,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, дерево",Форматная,9х12,220,Пластина,Compur, Dialitar Serie T,"202413
2286055","1:4,5",15,,,,,,,
Avus,Voigtländer,Фотоаппарат,,,Германия,Брауншвейг,175,,,,674,140x110x45,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,150,Пластина,,Anastigmat,135905,"1:6,8","13,5",,,,,,,
Eurynar,G Rodenstock,Фотоаппарат,,,Германия,,176,,,258646,1100,180x130x50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, дерево",Форматная,9х12,150,Пластина,Compur,Anastigmat Eurynar,273697,"1:4,5",16.5,,,,,,,
Anschütz,C.P.Goerz,Фотоаппарат,1896,1910,Германия,,177,,,26329,1591,165x145x100,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,60,Пластина,,Anastigmat Serie III,182536,"1:6,8",12.0,,,,,,,
ФКД,"Харьковский 
Совнархоз Фотофабрика",Фотоаппарат,1963,,СССР,Харьков,178,,,8062,3128,370х240х120,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь",Форматная,13х18,240,Пластина,,Индустар 51,600155,"1:4,5",21,,,,,,,
Mentor Panorama,Mentor Fabrik GOLTZ & BREUTMANN,Фотоаппарат,1965,1980,Германия,"Берлин, Дрезден",179,,,,6016,300x240x135,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь",Форматная,13х18,200,Пластина,,ОБЪЕКТИВ НУЖНО ВЫКРУТИТЬ С КАМЕРЫ - ОН ВНУТРИ ОСТАЛСЯ,,,,,,,,,,
ФКД,Минприбор ,Фотоаппарат,1979,,СССР,Харьков,180,,,,3128,,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь",Форматная,13Х18,,Пластина,,Индустар 51,,"1:4,5",21.0,,,,,,,
,Voigtländer,Фотоаппарат,,,Германия,,181,,,,3128,,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь",Форматная,9х12,,Пластина,IBSOR,,,,,,,,,,,
