"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см",Примечание,,,,,,
Полевой Бинокль,Optical Ruhnke,Бинокль,,,"Германия, Берлин",,23,,,,230,100x75x40,,,"Латунь, кожа, стекло",,,,,,35,,,,,,,,,,
Турист,ГОМЗ ,Фотоаппарат,1934,1938,СССР,,24,"136,600",,-,560,125х90х55,"Однообъективная, вертикальная",Клапп-камера,Бакелит,Форматная,6х9,95,Пластина,ГОМЗ,Индустар 7,24207,"1:3,5","10,5",,,,,,,
CONTESSA NETTEL,Ziess Ikon,Фотоаппарат,,,Германия,Дрезден,25,,,,950,150х110х75,"Однообъективная, горизонтальная",Клапп-камера,"Алюминий, дерево",Форматная,6х9,100,Пластина,,"Carl Ziess Jena 
Tessar",2213884,"1:2,8","7,5",,,,,,,
Weltur,Welta,Фотоаппарат,1936,1940,Германия,,26,,,…82,670,135x95x40,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х6,60,Пленка ,,"Meyer Gorlitz
Trioplan",777838,"1:2,9","7,5",Сверху на модели есть таблица соответствия диафрагмы и расстояния,,,,,,
Lumiere,Lumiere,Фотоаппарат,,,Франция,,27,,,,525,150х80х35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,90,Пленка ,,-,-,,,Безлинзовый объектив,,,,,,
Welti I,Welta,Фотоаппарат,1953,,Германия,,28,,,23262,535,120x80x45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Малоформатная,"2,4x3,6",35,Плёнка типа 135 (35-мм фотоплёнка),,"Meyer-Optik
Trioplan",1356958,"1:2,9",5,На задней крышке модели есть таблица соответствия диафрагмы и расстояния,,,,,,
Зажигалка,,Другое,,,,,29,,,,65,60х40х12,,,Нержавеющая сталь,,,,,,,,,,,,,,,,
Jcarette (ранняя модель),Ziess Ikon,Фотоаппарат,1920,,Германия,Дрезден,30,,,55608,812,180x80x46,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,60,Пленка,Compur,Ziess Ikon Carl Ziess Jena Tessar,84069,"1:4,5","10,5",,,,,,,
,Hannover list fabrik photographischer apparate,Фотоаппарат,,,Германия,,31,,,,600,150x110x45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"9,5x7",85,Пластина,Singlo,Extra Rapid Aplanat ,,1:8,13.5,Внутри наклейка от производителя Hannover list fabrik photographischer apparate S&G и адрес владельца (по всей видимости),,,,,,
Макар приставка ПЗФ,,Аксессуар для макросъёмки,,,CCCР,,32,,,,585,165х105х80,Для 1 объектива,С раздвижным мехом,Алюминий,,,,,,,,,,Использовался в качестве объектива (близко-далеко),,,,,,
Bessa (ранняя модель),Voigtländer,Фотоаппарат,1929,1931,Германия,Брауншвейг,33,,,В614152,465,170x80x40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,60,"Плёнка типа 120 (61,5-мм рольфильм)",,"Voigtländer
Braunschweig
Viogtar
Anastigmat",,"1:6,3",,,,,,,,
Perle,Welta,Фотоаппарат,1932,,Германия,,34,,,,430,145x75x30,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,5х8,60,Пленка ,Ibsor ,"
Jos.Schneider & Co Kreuznach",321465,"1:4,5",9,,,,,,,
Bessa (ранняя модель),Voigtländer,Фотоаппарат,1931,,Германия,Брауншвейг,35,,,,501,170x80x40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,75,"Плёнка типа 120 (61,5-мм рольфильм)",,"Voigtländer
Braunschweig
Viogtar
Anastigmat",,"1:7,7",,,,,,,,
Компас,Красногорский завод им. С. А. Зверева,Другое,,,СССР,"Красногорск, МО",36,,,,26,Диаметр 40 мм,,,Латунь,,,,,,,,,,нет никаких опознавательных знаков,,,,,,
Nettar 515/2,Ziess Ikon,Фотоаппарат,1933,1941,Германия,Дрезден,37,,,J38807,541,160x85x35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,65,Пленка ,,"Ziess Ikon
Nettar Anastigmat
Derval",,"1:6,3","10,5",Внутри на крышке наклейка с рекламой пленки В2 Ziess Ikon Film  и размерами кадра,,,,,,
Nettar 516/3,Ziess Ikon,Фотоаппарат,1937,1941,Германия,Дрезден,38,,,О80505,692,160x70x80,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,70,Пленка ,Compur,"Novar Anastigmat
Zeiss Ikon",1456543,"1:4,5",11,Внутри на крышке наклейка с рекламой пленки В2 Ziess Ikon Film  и размерами кадра,,,,,,
Box Tengor 54/2,Ziess Ikon,Фотоаппарат,1926,1928,Германия,Дрезден,39,,,,489,90х110х70,"Однообъективная, вертикальная",Бокс камера,Алюминий,Форматная,6х9,,Пленка ,,"Goerz Frontar
 D.R.P.",,,,"К данному фотоаппарату подходит только пленка Zeiss Ikon Film 6x9 BII 2,25x3,25 in. 
Из надписи внутри самой камеры.",,,,,,
Турист,ГОМЗ ,Фотоаппарат,1934,1938,СССР,,40,,,,565,125х90х40,"Однообъективная, вертикальная",Клапп-камера,Алюминий,Форматная,6х9,65,Пластина,ГОМЗ,Индустар 7,72120,"1:3,5","10,5",,,,,,,
Junior 620,Kodak,Фотоаппарат,1935,1936,Германия,,41,,,892315,462,150x75x30,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,65,Пленка ,Kodak ,Kodak Anastigmat,,"1:7,7",10.5,"Внутри на крышке наклейка с рекламой пленки Kodak Film 
Аксессуары, кабель для спуска затвора",,,,,,
Tikette,Rodenstock,Фотоаппарат,1930,,Германия (Мюнхен),,42,,,,846,130x70x80,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"6,5х9",90,Пленка ,,"Schneider-Kreuznach Radionar
",,"1:4,5","10,5","Сложно определить модель, так как у аппарата поменяли объектив
 и заднюю крышку заменив её пленконосителем и иными атрибутами
 от другого аппарата",,,,,,
