"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см"
Jhagee Dresden,Exacta,Фотоаппарат,,,Германия,Дрезден,737,,,,546,165х95х30,"Двухобъективная, горизонтальная",С раздвижным мехом,"кожа, сталь",форматная,,55,Пластина,Pronto,Meyer-Goerlitz,343345,1:6,8.0
Voigtländer Virtus Germany,Voigtländer,Фотоаппарат,1933,,Германия,Брауншвейг,738,,,,529,125х75х34,"Однообъективная, вертикальная",С раздвижным мехом,"кожа, сталь",форматная,"6х4,5",68,Пленка,Compur,Voigtlander Anastigmat Skopar ,836474,"1:3,5",7.5
Billy-Record,Agfa,Фотоаппарат,1938,1960,Германия,,739,,,,523,150х75х30,"Однообъективная, вертикальная",С раздвижным мехом,"Кожа, сталь",форматная,,73,Пленка,Agfa,Agfa Anastigmat Jgestar,,"1:6,3",10.0
Зенит ЕТ,КМЗ,фотоаппарат,1980,1995,СССР,Красногорск,740,,,,869,134х30х80,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик, сталь",форматная,24х36,,пленка,,Гелиос -44м-4,90036341,,
Carl Zeiss Jena,Carl Zeiss Jena,Объектив,,,Германия,,741,,,,127,,,,"метал, стекло",,,,,,,3050512,1:2,5.0
Box-Tengor 54/2,Zeiss Ikon,Фотоаппарат,1924,1928,Германия,Дрезден,742,,,,544,112х70х103,"Однообъективная ,вертикальная",Бокс камера,Алюминий,Форматная,6х9,,Пленка,,Goerz Frontar D.R.P,,,
Jhagee Dresden,Exacta,Фотоаппарат,1933,,Германия,,743,,,,835,140х45х65,"Однообъективная ,горизонтальная",,"Сталь, хромированная сталь",Форматная,,,Пленка,,Carl Zeiss Jena,3043731,1:2,5.8
Фотопленка Or Wo chrom UT21,Filmfabrik Wolfen,Другое,1964,,Германия,Вольфен ,744,,,,7,40х24х24,,,,,,,,,,,,
Extra-Rapid,Helios,Фотоаппарат,1909,,Германия,Дрезден,745,,,,1163,159х127х156,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, метал",Форматная,,160,Пластина,,"Ica. Akt-Ges. Exstra-Rapid-Aplanat ""Helios""",201003,1:8,13.0
Weltwinkel Aplanat Ser.C.F :15 №2,Emil Busch,Фотоаппарат,1866,,Германия,,746,,,,730,167х130х167,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, метал",форматная,,100,Пластина,,Weltwinkel Aplanat Ser.C.F :15 №2,,,10.5
Jhagee,Jhagee,Фотоаппарат,1916,,Германия,,747,,,,1016,152х115х152,"Однообъективная, вертикальная",С раздвижным мехом,"Кожа, сталь",Форматная,"6,5х9",150,Пластина,Compur,Doppel Anastigmat Veraplan,508830,"1:4,5",13.5
Meyer-Gorlitz,Meyer-Optik ,Фотоаппарат,1928,1944,Германия,,748,,,,504,122х120х43,"Однообъективная, вертикальная",С раздвижным мехом,"Кожа, сталь",Форматная,9х12,100,Пластина,Compur,Meyer-Goerlitz Anastigmat Trioplan,414738,"1:4,5",10.5
Jeric 'E',Фабрика Анатолия Феликсовича Вернера,Фотоаппарат,1910,,Российская империя,Харьков,749,,,,2111,210х237х76,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, метал",Форматная,,230,Пластина,,,,,
"Электро-фото глянцеватель ""ЭФГ""",Рижский электромеханический завод ,Другое,1981,,СССР,Рига,750,,,,1968,340х215х50,,,,,,,,,,,,
Blasewitz-Dresden,Ferd. Franz Meyer,Фотоаппарат,1897,,Германия,Дрезден,751,,,,2383,216х265х55,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, метал",Форматная,,235,Пластина,,Aplanastiymat W.Kenngott Paris,,,
Фото портрет на тарелке №1,,Другое,,,СССР,,752,,,,90,,,,Пластик,,,,,,,,,
Фото портрет на тарелке №2,,Другое,,,СССР,,753,,,,88,,,,,,,,,,,,,
"Фотовспышка ""Электроника ФЭ-27""",,Другое,1980,,СССР,,754,,,,236,,,,,,,,,,,,,
Carl Zeiss Jena WERRA I,Werra,Фотоаппарат,1959,,ГДР,,755,,,,450,106х30х70,"Однообъективный, горизонтальный",Жесткий,Сталь,Форматная,24х36,,Плёнка,,"Carl Zeiss Jena Tessar 2,8/50",4540049,,
Фотопленка Or Wo chrom UT18,Filmfabrik Wolfen,Другое,1964,,Германия,Вольфен ,756,,,,7,40х24х24,,,,,,,,,,,,
Компас,,Другое,,,,,757,,,,47,Диаметр 40 мм,,,Латунь,,,,,,,,,
Фото бумага,Фабрика фото бумаг,Другое,1940,,СССР,Ленинград,758,,,,31,,,,,,,,,,,,,
Зенит 122К,КМЗ,Фотоаппарат,1990,2005,"СССР, Россия",Красногорск,759,,,,800,132х30х80,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик, сталь",форматная,24х36,,Пленка,,MC Helios-44K-4,9629769,1:2,5.8
ЛК-А Ломо-компакт-автомат,ЛОМО,Фотоаппарат,1983,,СССР,Ленинград,760,,,,257,104х28х61,"Однообъективный, горизонтальный",Жесткий,"Сталь, пластмасса",Форматная,24х36,,Пленка,,Minitar 1,,"1:2,8",3.2
Mec 16,Feinwerktechnik GmbH ,Фотоаппарат,1950,1960,ГДР,Лара,761,,,6590185,228,100х30х60,"Однообъективная, горизонтальная",Жесткий,"Метал, пластик",Форматная,10х14,,Пленка,,,,"1:2,8",2.0
Киев 30М,Арсенал,Фотоаппарат,1975,1987,СССР,Киев,762,,,8903329,174,83х25х43,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик, сталь",Микроформатная,13х14,,Пленка (16 -мм фотопленка),,Индустар-М,,"1:3,5",2.3
Детективная камера Micro 16,Whittaker,Фотоаппарат,1946,,США,Лос-Анжелес,763,,,,264,70х25х51,"Однообъективная, горизонтальная",Жесткий,Сталь,Микроформатная,,,Пленка (16 -мм фотопленка),,,,,
Minolta Weathermatic A для подводной съемки,Minolta,Фотоаппарат,,,Япония,,764,,,1106500,346,170х36х70,,,,,,,,,,,,
Шпионская камера Minolta-16, Minolta,Фотоаппарат,,,Япония,,765,,,817174,158,77х22х40,"Однообъективная, горизонтальная",Жесткий,сталь,Микроформатная,,,Пленка,,Rokkor,,"1:2,8",2.2
Minolta-16 MG, Minolta,Фотоаппарат,1966,,Япония,,766,,,141228,160,100х22х37,"Однообъективный, горизонтальный",Жесткий,Сталь,Микроформатная,10х14,,Пленка(16-мм фотопленка),,Rokkor,,"1:2,8",2.0
Graffiti,Kodak,Фотоаппарат,1988,,Мексика,,767,,,,168,160х27х55,"Однообъективная, горизонтальная",Жесткий ,Пластик,Малоформатная,"2х2,3",,Пленка ,,,,,
Minox Leica M3,Ernst Leitz,Фотоаппарат,,,Германия,,768,,,82047936,87,63х30х40,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Малоформатная,6х8,,,,Minoctar,,,9.6
Вега-2,Арсенал,Фотоаппарат ,1961,1964,СССР,Киев,769,,,120401,170,82х23х41,"Однообъективный, горизонтальный",Жесткий ,Нержавеющая сталь,Микроформатный,10х14,,Пленка (16-мм фотопленка),,Индустар-М,,,
Киев-303,Арсенал,Фотоаппарат,1990,,СССР,Киев,770,,,9228592,147,78х25х42,"Однообъективная, горизонтальная",Жесткий,"Нержавеющая сталь, пластик",Микроформатная,13х17,,Пленка (16-мм фотопленка),,Индустар-М,,,
Minolta 16 QT,Minolta,Фотоаппарат,,,Япония,,771,,,146901,156,105х25х40,"Однообъективная, горизонтальная",Жесткий ,Пластик,Среднеформатная,12х7,,Пленка (16-мм фотопленка),,Rokkor,,"1:3,5",
Mikroma,Meopta,Фотоаппарат,,,Чехия,,772,,,,210,72х27х35,"Однообъективная, горизонтальная",Жесткий,"Нержавеющая сталь, кожа",Микроформатная,11х14,,Пленка (16-мм фотопленка),,Meopta Mirar,,"1:3,5",2.0
Minolta-16 MG-S,Minolta,Фотоаппарат,1970,,Япония,,773,,,158966,207,103х25х42,"Однообъективная, горизонтальная",Жесткий,"Нержавеющая сталь, пластик",Микроформатная,12х17,,Пленка (16-мм фотопленка),,Rokkor,,"1:2,8",2.3
Steky III B,Steky,Фотоаппарат,1949,,Япония,,774,,,,153,60х30х25,"Однообъективная, горизонтальная",Жесткий ,"Нержавеющая сталь, кожа",Микроформатная,10х14,,Пленка (16-мм фотопленка),,Riken Stekinar,,"1:3,5",2.5
Шпионская камера Minox Riga,Minox,Фотоаппарат,1938,,Германия,,775,,Изобрел Вальтер Зеппа,,96,95х16х27,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,8х11,,Пленка,,Complan,,"1:3,5",1.5
Pixie Flash,Whittaker,Фотоаппарат,1951,,США,Лос-Анжелес,776,,,,39,50х25х22,"Однообъективная, горизонтальная",Жесткий,Пластик,Микроформатная,,,,,,,,
Mamiya-16 automatic,Mamiya,Фотоаппарат,1949,1962,Япония,,777,,,2404015,283,100х30х45,"Однообъективная, горизонтальная",Жесткий,"Нержавеющая сталь, пластик",Микроформатная,13х17,,Пленка,,Mimiya-Sekor,,"1:2,8",2.5
Киев-30,Арсенал,Фотоаппарат,1975,1987,СССР,Киев,778,,,7520552,176,83х25х41,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатный,13х17,,Пленка (16-мм фотопленка),,Индустар-М,,,
Шпионская камера Coronet Midget,Coronet,Фотоаппарат,1934,1943,Англия,,779,,,,53,23х30х55,"Однообъективная, вертикальная",Бокс камера,"Пластик, латунь",Микроформатная,13х18,,Пленка (16-мм фотопленка),,,,,
Micro 110,Hanimex,Фотоаппарат,,,Китай,,780,,,,34,60х40х23,"Однообъективная, горизонтальная",,Пластик,Микроформатная,,,,,,,,
Фотобумага Ridap Jonmig,Voigtländer,Другое,,1945,Германия,,781,,,,102,70х115х25,,,,,формат бумаги 6х9,,,,,,,
Весы фотолюбителя,Опытный завод порционных автоматов им.Дзержинского,Другое,1972,,СССР,Киев,783,,,,186,,,,,,,,,,,,,
"Бумага фотографическая черно-белая  ""Берёзка""",Славич,Другое,1990,,СССР,Переславль-Залесский,784,,,,162,,160х10х215,,,,формат бумаги 13х18,,,,,,,
Eastman Kodak No. 2 Folding Film Pack Hawk-eye. ,Eastman Kodak Company,Фотоаппарат,1910,,США,Нью-Йорк,787,,,26176,345,70х40х110,"Однообъективная, вертикальная",С раздвижным мехом,Метал,Форматная,,80,Пластина,,Hawk-eye shutter,20498,,
Шпионская Expo camera,Expo,Фотоаппарат,1904,,США,Нью-Йорк,788,,,,77,Диаметр 50мм,"Однообъективная, горизонтальная",Жесткий,Нержавеющая сталь,Микроформатная,16х22,,Пленка (17.5- мм фотопленка),,,,,
Victor,Victor Hasselblad,Фотоаппарат,1891,,Швеция,Гётеборг,789,,,,858,155х70х155,"Однообъективная, вертикальная",С раздвижным мехом,"Кожа, красное дерево",Среднеформатная,,160,Пластина,,Rochester optical,,,
Волшебный фонарь (Laterna magica) с стеклянными пластинами,,Другое,около 19 века,,,,790,,,,384,,,,Метал,,,,,,,,,
Стереоскоп,,Другое,,,,,791,,,,512,150х98х80,,,"Кожа, латунь, дерево",,,,,,,,,
Микроскоп,,Другое,около 19 века,,,,792,,,,840,,,,"Латунь, сталь",,,,,,,,,
Увеличительная лупа,,Другое,,,,,793,,,,507,,,,,,,,,,,,,
Фотобумага  ,Franasyek,Другое,,,Польша,Варшава,794,,,,,,,,,,,,,,,,,
Бинокль,Colmont Paris,Бинокль,начало 20 века,,Франция,Париж,795,,,,667,125х140х55,,,"Латунь, кожа, стекло",,,,,,,,,
Altissar Periskop,Altissa,Фотоаппарат,1940,1952,Германия,,796,,,,318,73х120х65,"Однообъективная, вертикальная",Жесткий,Метал,среднеформатная,,,Пленка,,,,,
Сокол,ЛОМО,Фотоаппарат,1966,1978,СССР,Ленинград,797,,,6900921,797,135х85х25,"Однообьективный, горизонтальный",Жесткий,"Сталь, пластмасса",Форматная,36х24,,Пленка,,Индустар-70,250,"1:2,8",5.0
Double run Eight,G.B. - Bell and Howell,Видеокамера,,,Англия,,798,,,605,851,47х121х47,,Жесткий,Сталь,,,,,,Trital,,,2.5
Carl Zelss Jena,Carl  Zelss,Подзорная труба,1939,,Германия,Берлин,799,,,702,855,70х70х260,,жесткий с гравировкой,"Сталь, стекло",,,,,,,,,
Кинофотоосветитель ,"НПО ""Экран""",Другое,,,СССР,Москва,800,,,880801045,1040,135х135х70,,Жесткий,сталь,,,,,,,,,
Фотовспышка Norma Fil-101,Norma,Другое,1970,,Эстония,Таллин,801,,,,1348,85х100х200,,Жесткий,"Пластик, стекло",,,,,,,,,
"косметический прибор ""Фотон""",МЭЛЗ,Другое,,,СССР,Москва,802,,,,960,75х130х60,,Жесткий,Пластик,,,,,,,,,
Ремонт Фотоаппаратов,,Книги,1964,,СССР,Москва,803,100000,"З.А.Вишневский, №1 Госбытиздата",,604,150х220х14,,,,,,,,,,,,
Фотографируем без ошибок,,Книги,1961,,СССР,Москва,804,275000,"Курт Фитче, Типография им. А.А.Жданова",,328,250х130х15,,,,,,,,,,,,
Словарь справочник по фото механике,,Книги,1935,,СССР,Ленинград,805,3175,"проф.Ю.К.Лауберт, ""Печатный Двор""",,438,150х220х20,,,,,,,,,,,,
Фотография ее техника и искусство,,Книги,1960,,СССР,Москва,806,200000,"Л.П.Дыко, Е.А.Иофис, им.А.А.Жданова",,787,170х225х25,,,,,,,,,,,,
Памятники науки и техники,,Книги,1992,,Россия,Москва,807,20000,"Архангельская ,Полунин, ""Внешторгиздат""",,553,215х280х10,,,,,,,,,,,,
Фототехника мира,,Книги,,,Россия,,808,,,,1273,210х280х30,,,,,,,,,,,,
"Подставка для ручек ""Камера""",,Другое,,,КНР,,809,,,С2513349S,418,144х130х128,,,Дерево,,,,,,,,,
"Статуэтка ""Фотограф""",,Другое,,,,,810,,,,388,50х105х40,,,Глина,,,,,,,,,
"Статуэтка ""Часы фотоаппарат""",,Другое ,,,,,811,,,,702,75х120х63,,,Глина,,,,,,,,,
Насадки телескопические 0.5 и 2,Экран,Другое,1963,,СССР,Волжск,812,,,630026.630011,216,100х55х50,,,"Линза, сталь, бумага",,,,,,,,,
Приставка ПЗФ,"Рогачевский завод ""Диапроектор""",Другое,1981,,СССР,,813,,,,1270,160х110х40,,,сталь,,,,,,,,,
Объектив INDUSTAR-50-2,Зенит,Другое,,,СССР,,814,,,,94,45х55х45,,,,,,,,,,,,
"Фотовспышка ""Чайка""","ПО ""Элитан""",Другое,1974,1990,СССР,,815,,,,1216,180х150х70,,,,,,,,,,,,
Объектив Helios,Helios,Другое,,,,,816,,,,105,55х55х52,,,,,,,,,,81150098,1:2,5.8
Тарелка с фото,,Другое,,,,,817,,,,144,238х238х238,,,пластик,,,,,,,,,
"Инструкция по эксплуатации ""Фотоснайпер""",Зенит,Книги,,,,,818,,,,40,183х134х3,,,,,,,,,,,,
"Инструкция по эксплуатации ""Москва-5""",Зенит,Книги,1975,,СССР,,819,,,,15,92х130х3,,,,,,,,,,,,
"Паспорт на фотоаппарат ""Старт""",Зенит,Книги,1962,,СССР,,820,,,,23,102х142х3,,,,,,,,,,,,
"Журнал ""Фотография""",,Книги,,,Германия,,821,,"Иорг Кремер, Панорама Ферлаг",,50,205х300х2,,,,,,,,,,,,
"Фотообъектив ""Мир-385"" коробка с деталями",,Другое,1985,,СССР,,822,,,,591,,,,,,,,,,,,,
Пленка цветная ДС-4,Свема,Другое,1931,1987,СССР,Шостка,823,,,,306,140х130х25,,,,,,,,,,,,
руководство по эксплуатации,Киев-6С TTL,Книги,1982,,СССР,Киев,824,,,,28,141х100х3,,,,,,,,,,,,
руководство по эксплуатации,Зенит-212к,Книги,,,СССР,,825,,,,11,140х110х3,,,,,,,,,,,,
Объектив,,Другое,,,,,826,,,,580,,,жесткий,металл,,,,,,,900796,"1:1,8",12.0
Телефонный аппарат,Telic,Другое,1910,1919,,,827,,,445,,,,жесткий ,металл,,,,,,,,,
Ensigh Midget,Houghton-Butcher ,фотоаппарат,1934,1941,Великобритания,,828,,,,160,90х42х17,"однообъективная, горизонтальная",жесткий,металл,среднеформатная,10,,пленка,,Ensar anastigmat lens,,,6.0
Ensigh Midget - 22,Houghton-Butcher ,Фотоаппарат,1933,1941,Великобритания,,829,,,,160,90х42х17,"однообъективная, горизонтальная",жесткий,металл,среднеформатная,10,,пленка,,English pat,271186,,
USSR Photo-70,Значок,Другое,1970,,СССР,,830,,,,9,42х54х2,,жесткий ,металл,,,,,,,,,
Объектив,,Объектив,,,,,831,,,,203,42х42х60,,,,,,,,,,,,
Сокол,ЛОМО,Фотоаппарат,1966,1978,СССР,Ленинград,832,,,,845,85х90х140,"однообъективная, горизонтальная",жесткий ,сталь,Дальномерный фотоаппарат,36х24,,пленка типа 135,Центральный ,Индустар -70,,"1:2,8",5.0
Чайка 3 ,БеЛомо,Фотоаппарат,1971,1973,СССР,Минск,833,,,,450,112х85х46,"однообъективная, горизонтальная",жесткий,сталь,полуформатный,18х24,,пленка типа 135,Центральный ,Индустар-69,,"1:2,8",28.0
Диффузная насадка локальная 1,Корп,Другое,,,,,834,,,,,,,,,,,,,,,,,
Виньетки для проекционной печати,Мосгоспромсовет,Другое ,,,СССР,Москва,835,,,,,,,,,,,,,,,,,
Альбом Кодак,Kodak,Другое,,,,,836,,,,,,,,,,,,,,,,,
реагенты для проявки,Agfa,Другое,,,,,837,,,,,,,,,,,,,,,,,
Balda,Balda,Фотоаппарат ,1935,1951,Германия,Дрезден,838,,,,441,,"однообъективный, вертикальный",жесткий,"металл, кожа",дальномерная,,40,,,Compur,,"1:2,8",5.0
Фотография Ельцина,в конверте с негативом,Другое ,,,,,839,,,,,,,,,,,,,,,,,
Виньетки фото с инструкцией по эксплуатации,,Другое,,,,,840,,,,,,,,,,,,,,,,,
фото виньетка,Химкинский Горбыткомбинат,Другое ,,,СССР,Химки,841,,,,,,,,,,,,,,,,,
лампа,,другое ,,,СССР,,842,,,,,,,,,,,,,,,,,
Миг-2,Бесконтактное реле времени со стабилизацией экспозиции,Другое,,,СССР,,843,,,,,,,,,,,,,,,,,
Киев 30,Арсенал,Фотоаппарат,1957,1987,СССР,Киев,844,,,,190,28х46х86,"Однообъективная, горизонтальная",жесткий,металл,миниатюрный шкальный,13х17,,пленка 16 мм,,,,,
Photo-Hall,Murer,Фотоаппарат,19 век,,Франция,Париж,845,,,,577,105х115х30,"однообъективный, горизонтальный",жесткий,металл,,,83,,,H.Roussel Paris,80037,"1:6,3",10.0
kodak,Eastman Kodak Company ,Фотоаппарат,1926,1933,США,Нью-Йорк,846,,,,880,185х115х45,"Однообъективная, вертикальная",жесткий,,,,125,,,Carl Zeiss Jena,161262,"1:6,3",13.0
осветительный прибор,,Другое,,,СССР,,847,,,,225,143х130х25,,,пластик,,,,,,,,,
Штатив - струбцина,ФЭД,Другое,,,СССР,Харьков,848,,,,130,130х50х17,,,,,,,,,,,,
"Кассета для 8-мм кинопленки типа ""С""",КМЗ,Другое,1969,1993,СССР,Красногорск,849,,,,48,70х75х25,,,пластик,,,,,,,,,
"Кассета для 8-мм кинопленки типа ""С""",КМЗ,Другое,1969,1993,СССР,Красногорск,850,,,,48,70х75х25,,,пластик,,,,,,,,,
"Кассета для 8-мм кинопленки типа ""С""",КМЗ,Другое,1969,1993,СССР,Красногорск,851,,,,48,70х75х25,,,пластик,,,,,,,,,
инструкция по эксплуатации,Зенит,Книги,,,СССР,,852,,,,20,135х93х3,,,,,,,,,,,,
инструкция по эксплуатации ,"Смена 8 ""М""",Книги,,,СССР,,853,,,,14,135х100х3,,,,,,,,,,,,
инструкция по эксплуатации,любительская кинокамера КВАРЦ 1х8Сх2,Книги,,,СССР,,854,,,,34,135х185х4,,,,,,,,,,,,
Фотографии маршалов СССР,,Другое,,,СССР,,855,,,,,,,,,,,,,,,,,
насадка на объектив,ж-2 к/камера,Другое,,,СССР,,856,,,,57,45х45х10,,,,,,,,,,,,
насадка на объектив,ж-2 фото\к,Другое,,,СССР,,857,,,,57,45х45х10,,,,,,,,,,,,
насадка на объектив,,Другое,,,СССР,,858,,,,57,45х45х10,,,,,,,,,,,,
Zenit EM,Зенит,Фотоаппарат,1972,1988,СССР,Красногорск,859,,,,880,130х80х100,"однообъективная, горизонтальная",жесткий,сталь,Зеркальная,24х36,,пленка типа 135,"Механический, шторнощелевой с горизонтальным движением матерчатых шторок",MC Helios-44M-4,,1:2,5.8
ФЭД-5,ФЭД,Фотоаппарат ,1977,1990,СССР,Харьков,860,,,,988,,"однообъективный, горизонтальный",жесткий ,сталь,дальномерная,24х36,,пленка типа-135,шторно-щелевой,Индустар -61 Л/Д,8422767,"1:2,8",5.5
Бинокль,полевой ,Бинокль,,,,,861,,,,618,113х120х35,,,"сталь, кожа",,,,,,,,,
Юпитер-37А,КОМЗ,Объектив,1978,2009,"СССР, Россия",Казань,862,,,,377,100х53х53,,,металл,,,,,,,,,13.5
Руководство по эксплуатации,ФЭД-5,Другое,1983,,СССР,,863,,,,16,140х100х3,,,,,,,,,,,,
Бинокль театральный,,Бинокль,,,,,864,,,,105,85х20х40,,,"бронза, ракушка",,,,,,,,,
фотография в рамке,,Другое,,,,,865,,,,164,90х120х15,,,"дерево, металл , стекло",,,,,,,,,
Фотография в рамке винтажной,,Другое,,,,,866,,,,332,155х180х2,,,,,,,,,,,,
Dr.R.Krugener,Dr.R.Krugener,Фотоаппарат,1985,1905,Германия,Дрезден,867,,,,588,120х145х36,"Однообъективная, вертикальная",Жесткий,"дерево, кожа",,9Х12,117,пластина,,Perisk-Aplanat,,,
"значок ""Ассофото""",,Другое,,,СССР,,868,,,,3,35х12х2,,,,,,,,,,,,
"значок ""СССР фото 70""",,Другое,1970,,СССР,,869,,,,2,22х26х2,,,,,,,,,,,,
"Фиксаж кислый для черно-белых негативных и позитивных фотопластинок, фотопленок и фотобумаги",Ступинский химический завод,Другое,1992,,Россия,Ступино,870,,,,59,110х136х1,,,,,,,,,,,,
"Фиксаж кислый для черно-белых негативных и позитивных фотопластинок, фотопленок и фотобумаги",Ступинский химический завод,Другое,1992,,Россия,Ступино,871,,,,59,110х136х1,,,,,,,,,,,,
Начинающему фотолюбителю,Искусство,Книги,1959,,СССР,Москва,872,200000,"К.В.Вендровский, Б.А.Шашлов, Первая образцовая типография имени А.А.Жданова",,149,130х200х12,,,,,,,,,,,,
Учись фотографировать,Искусство,Книги,1988,,СССР,Москва,873,100000,"А.С.Вартанов, Д.А.Луговьер, Ордена Трудового Красного Знамени Калининский полиграфический комбинат Союзполиграфпрома при Государственном комитете СССР по делам издательств, полиграфии и книжной торговли. ",,703,245х170х25,,,,,,,,,,,,
"Папка ""авансовые отчеты""",,Другое,1984,,СССР,,874,,,,,,,,,,,,,,,,,
Brownie 127 Camera,Kodak,Фотоаппарат,1952,1954,Великобритания,,875,,,,232,125х75х65,"однообъективная , горизонтальная",жесткий,пластик,дальномерная,,6х4,пленка типа 127,,,,,
Зенит Е,"КМЗ, БеЛОМО",Фотоаппарат,1965,1986,СССР,"Красногорск, Вейск",876,,,,1000,138х93х100,"однообъективный, горизонтальный",жесткий,сталь,зеркальная,24х36,,пленка типа 135,"механический, шторно-щелевой, с горизонтальным движением матерчатых шторок",Гелиос-44-2,81284378,1:2,5.8
Ручная кофемолка,,Другое,19 век,,,,877,,,,812,100х130х210,,,,,,,,,,,,
Кварц 1х8с-2,КМЗ,Другое,1974,1993,СССР,Красногорск,878,,,,1168,194х53х200,,жесткий,,,,,"кассета ""супер8""",,метеор-8М-1,818906,"1:1,8",
старинный микроскоп ,,Другое,19 век,,,,879,,,,732,187х104х73,,,,,,,,,,,,
"Электроника ФЭ-31, фотовспышка","ЗАО ""Резел""",Другое ,1993,,Россия,Москва,880,,,,89,53х65х30,,жесткий,пластик,,,,,,,,,
Старинная фотовспышка ,,Другое,,,,,881,,,,148,100х75х20,,жесткий,дерево,,,,,,,,,
Кольца переходные к фотоаппарату Зенит,,Другое,,,СССР,,882,,,,104,50х50х65,,,,,,,,,,,,
Момент -24с,КМЗ,Объектив,,,СССР,Красногорск,883,,,,386,60х60х25,,жесткий,сталь,,,,,,,45405,"1:3,5",10.5
Штатив,,Штатив,,,,,884,,,,,,,,дерево,,,,,,,,,
Штатив,,Штатив,,,,,885,,,,,,,,дерево,,,,,,,,,
Штатив,,Штатив,,,,,886,,,,,,,,дерево,,,,,,,,,
Штатив,,Штатив,,,,,887,,,,,,,,сталь,,,,,,,,,
Штатив,,Штатив,,,,,888,,,,,,,,красное дерево,,,,,,,,,
"Штатив ""ФШУ-7""",,Штатив,,,СССР,,889,,,,,,,,Металл,,,,,,,,,
"Фотоувеличитель ""Ленинград 2""",,Другое,1960,1989,СССР,Ленинград,890,,,,,,,,"сталь, дерево",,,,,,,,,
Кинопроекторный аппарат 8П-1,,Другое ,1961,,РСФСР,Казань,891,,,,,,,,,,,,,,,,,
"Портативный фотоувеличитель ""УПА5М""",,Другое,1948,,СССР,,892,,,,,,,,,,,,,,,,,
Стереоскоп зеркальный складной СЗС,,Другое,,,СССР,,893,,,,,,,,,,,,,,,,,
Фотографическая лаборатория,Meopta,Другое,,,Чехия,,894,,,,,,,,,,,,,,,,,
Старинный фотоаппарат большой,,Фотоаппарат,18-19 век,,,,895,,,,,,,,"бархат, бумага, золотое покрытие",,,,,,,,,
старинный фото альбом,,Другое,1892,,Россия,,896,,,,,,,,,,,,,,,,,
фотоглянцеватель,,,,,,,897,,,,,,,,,,,,,,,,,
телеграф,Simens&Halske A.G,,19 век,,Германия ,,898,,,52327,,,,,,,,,,,,,,
фотокамера ,Goerz Frontar DR.P,,19 век,,Германия ,Берлин,899,,,,,,,,,,,,,,,,,
Объектив Индустар У-1 22,,,1950,,СССР,,900,,,,,,,,,,,,,,,,,
фотоаппарат ,Zeiss Ikon,,1937,,Германия,Дрезден,901,,,,,,,,,,,,,,,,,
фотоаппарат ,Ica,,1926,,Германия,Дрезден,902,,,,,,,,,,,,,,,,,
фотоаппарат ,Miraх,,1947,,Япония,Токио,903,,,,,,,,,,,,,,,,,
фотоаппарат ,Kodak,,1930,,США,Нью-Йорк,904,,,,,,,,,,,,,,,,,
проигрыватель,his Madbools Vois the Gramophone Company,,1898,,Великобритания,Лондон ,905,,,,,,,,,,,,,,,,,
военный аппарат для связи ,,,,,,,906,,,,,,,,,,,,,,,,,
Huttigs Atom,Ica Akt-Ges Dresden,Фотоаппарат,1908,,Германия,Дрезден ,907,,,,,63х25х80,однообъективный,жесткий,"метал, кожа",,,70,пластина,,Huttig A-G Dresden Doppel-Anastigmat Lioyd,120802,"1:6,8",9.0
six-20 brownie Junior, kodak LTD,фотоаппарат ,1950,,Великобритания,,908,,,,,76х100х100,однообъективный,жесткий,"метал, кожа",,,,пленка,,,,,
kodak,Eastman Kodak Company  Rochester,Фотоаппарат,,,США,Нью-Йорк,909,,,,,114х45х190,однообъективный,жесткий,"метал, кожа",,,95,пластина,,Eastman Kodak Co.Rochester N/Y U.S.A,3264128,1:8,16.0
Instamatic camera 700,Kodak,Фотоаппарат,1960,1970,США,Нью-Йорк,910,,,,,115х44х70,однообъективный,жесткий,метал,,,,пленка,,kodak Ektanar lens,,2:8,38.0
Kodak Tele-Ektralite 20,kodak,фотоаппарат,,,США,Нью-Йорк,911,,,,,174х30х60,однообъективный,жесткий,пластик,,,,пленка,,,,,
Toska215,Vario,фотоаппарат,,,,,912,,,,,160х115х35,однообъективный,жесткий,"метал, кожа",,,105,пластина,,Ica Akt-Ges Doppel Anastigmat Hekla,634807,"1:6,8",13.0
